order_sk,order_id,date_id,channel_sk,store_sk,customer_sk,billing_location_sk,shipping_location_sk,status,subtotal,tax_amount,shipping_fee,total_amount
1,1000000000,20241126,1,,356,1914,599,FULFILLED,51600.0,10836.0,1200.0,63636.0
2,1000000001,20240131,1,,601,2807,2538,CREATED,63840.0,13406.4,900.0,78146.4
3,1000000002,20250226,1,,1234,130,3067,FULFILLED,25260.0,5304.6,1500.0,32064.6
4,1000000003,20250301,1,,156,2669,511,FULFILLED,25500.0,5355.0,0.0,30855.0
5,1000000004,20240330,2,4,616,297,4,FULFILLED,44175.0,9276.75,0.0,53451.75
6,1000000005,20240312,2,2,614,727,2,FULFILLED,24000.0,5040.0,0.0,29040.0
7,1000000006,20250715,1,,188,436,1152,REFUNDED,14250.0,2992.5,1200.0,18442.5
8,1000000007,20241111,1,,17,,2581,FULFILLED,13500.0,2835.0,1200.0,17535.0
9,1000000008,20240825,1,,1148,1022,494,FULFILLED,89100.0,18711.0,1200.0,109011.0
10,1000000009,20240330,1,,1037,101,978,PAID,12825.0,2693.25,1200.0,16718.25
11,1000000010,20240313,2,1,1336,,1,REFUNDED,14700.0,3087.0,0.0,17787.0
12,1000000011,20250617,2,4,1239,1163,4,FULFILLED,34140.0,7169.4,0.0,41309.4
13,1000000012,20240809,2,3,1426,2393,3,FULFILLED,35280.0,7408.8,0.0,42688.8
14,1000000013,20250323,2,1,862,346,1,PAID,101887.5,21396.38,0.0,123283.88
15,1000000014,20250818,1,,181,1242,2921,PAID,11760.0,2469.6,900.0,15129.6
16,1000000015,20240915,1,,700,2272,807,CANCELLED,23520.0,4939.2,1200.0,29659.2
17,1000000016,20250827,1,,475,589,2562,FULFILLED,22680.0,4762.8,1200.0,28642.8
18,1000000017,20250219,2,2,753,2056,2,FULFILLED,66870.0,14042.7,0.0,80912.7
19,1000000018,20240714,1,,1151,1716,1695,CANCELLED,81990.0,17217.9,900.0,100107.9
20,1000000019,20250421,1,,793,1527,2616,FULFILLED,37044.0,7779.24,1200.0,46023.24
21,1000000020,20240506,1,,866,2937,2378,FULFILLED,49500.0,10395.0,0.0,59895.0
22,1000000021,20250923,1,,1110,2250,1549,FULFILLED,23520.0,4939.2,1200.0,29659.2
23,1000000022,20240331,2,1,854,1466,1,REFUNDED,24000.0,5040.0,0.0,29040.0
24,1000000023,20250705,2,3,379,2102,3,FULFILLED,68400.0,14364.0,0.0,82764.0
25,1000000024,20250302,2,2,441,532,2,FULFILLED,11760.0,2469.6,0.0,14229.6
26,1000000025,20250826,1,,125,1985,516,FULFILLED,70087.5,14718.38,1200.0,86005.88
27,1000000026,20241212,1,,1201,3168,301,FULFILLED,13500.0,2835.0,1200.0,17535.0
28,1000000027,20241202,1,,1055,2325,1862,FULFILLED,22800.0,4788.0,900.0,28488.0
29,1000000028,20240517,1,,382,342,1423,FULFILLED,12000.0,2520.0,0.0,14520.0
30,1000000029,20250914,1,,1456,414,1425,FULFILLED,64740.0,13595.4,900.0,79235.4
31,1000000030,20250609,2,4,1377,2585,4,PAID,34200.0,7182.0,0.0,41382.0
32,1000000031,20250510,2,4,1375,928,4,PAID,23520.0,4939.2,0.0,28459.2
33,1000000032,20250315,1,,821,2185,924,FULFILLED,27000.0,5670.0,1200.0,33870.0
34,1000000033,20240608,2,4,1475,2316,4,FULFILLED,14700.0,3087.0,0.0,17787.0
35,1000000034,20241117,2,2,634,1160,2,FULFILLED,85387.5,17931.38,0.0,103318.88
36,1000000035,20240112,2,1,585,2440,1,FULFILLED,21600.0,4536.0,0.0,26136.0
37,1000000036,20240924,1,,180,3142,1863,FULFILLED,49800.0,10458.0,900.0,61158.0
38,1000000037,20240126,1,,482,1548,2325,FULFILLED,24696.0,5186.16,1200.0,31082.16
39,1000000038,20240202,2,1,620,307,1,FULFILLED,11760.0,2469.6,0.0,14229.6
40,1000000039,20240523,2,1,603,3134,1,FULFILLED,59160.0,12423.6,0.0,71583.6
41,1000000040,20240304,1,,1028,2288,1149,CANCELLED,11400.0,2394.0,1200.0,14994.0
42,1000000041,20240114,2,3,1005,,3,FULFILLED,24510.0,5147.1,0.0,29657.1
43,1000000042,20240927,1,,790,742,33,FULFILLED,10260.0,2154.6,1500.0,13914.6
44,1000000043,20240521,1,,665,2230,2043,PAID,39600.0,8316.0,900.0,48816.0
45,1000000044,20250902,1,,562,,1135,FULFILLED,73500.0,15435.0,1500.0,90435.0
46,1000000045,20240201,1,,998,2030,1984,FULFILLED,36000.0,7560.0,900.0,44460.0
47,1000000046,20240112,1,,276,,493,FULFILLED,33000.0,6930.0,0.0,39930.0
48,1000000047,20240308,2,2,1469,,2,FULFILLED,10800.0,2268.0,0.0,13068.0
49,1000000048,20240913,2,2,408,2369,2,CREATED,23520.0,4939.2,0.0,28459.2
50,1000000049,20240811,2,2,1360,178,2,FULFILLED,40500.0,8505.0,0.0,49005.0
51,1000000050,20240725,1,,1423,1107,665,FULFILLED,28500.0,5985.0,1200.0,35685.0
52,1000000051,20240915,1,,741,1344,1867,FULFILLED,30870.0,6482.7,900.0,38252.7
53,1000000052,20241104,1,,969,,1612,FULFILLED,70560.0,14817.6,0.0,85377.6
54,1000000053,20240810,1,,729,2599,458,CANCELLED,27000.0,5670.0,900.0,33570.0
55,1000000054,20240316,2,4,251,2469,4,PAID,12348.0,2593.08,0.0,14941.08
56,1000000055,20250723,2,1,1087,2309,1,PAID,42750.0,8977.5,0.0,51727.5
57,1000000056,20250412,1,,659,2450,1891,FULFILLED,71025.0,14915.25,1200.0,87140.25
